Frame;Sub Frame;TA_D;FIB_D;GM_D;GL_D;SOL_D;TA_I;FIB_I;GM_I;GLI;SOL_I
16;0;0.00263214;-0.00713348;0.0375748;0.0680161;0.0671387;0.0181198;0.0688171;0.0694656;0.0989914;0.0829315
16;1;0.00720978;0.00583649;0.0271606;0.0653076;0.0987244;0.0368118;0.0615692;0.0675201;0.100479;0.0852966
16;2;0.00747681;0.00686646;0.0389481;0.0719452;0.12558;0.0511551;0.0595093;0.0631714;0.0977325;0.084343
16;3;0.00572205;-0.000228882;0.0376129;0.0695419;0.131989;0.0696945;0.0555801;0.0633621;0.0976181;0.0860596
16;4;0.00812531;-0.00213623;0.031929;0.0743103;0.108719;0.0754166;0.062561;0.0684357;0.0971222;0.083847
16;5;0.0128937;-0.00232697;0.040741;0.0724411;0.0895691;0.0704956;0.0547791;0.0686264;0.0976944;0.0847244
16;6;0.0103378;-0.0018692;0.0426865;0.069046;0.105476;0.0684357;0.0574493;0.0667191;0.0963593;0.0878906
16;7;0.00293732;-0.000610352;0.0413513;0.0613785;0.107384;0.0788116;0.0711823;0.0701523;0.101662;0.089035
16;8;-0.00171661;-0.00183105;0.02491;0.0676727;0.0612259;0.0818634;0.0792694;0.0721359;0.104828;0.0896072
16;9;-0.00183105;-0.0063324;0.014801;0.0629425;0.0449371;0.0899887;0.0850296;0.0740814;0.103378;0.0883484
17;0;-0.00267029;-0.00701904;0.0367355;0.0518799;0.0686646;0.0899124;0.0856018;0.0740814;0.10128;0.0860977
17;1;0.00255585;0.00907898;0.0631332;0.065155;0.0871658;0.0873184;0.0866699;0.0707245;0.101509;0.0796509
17;2;0.0050354;0.0153351;0.098877;0.0780869;0.0544739;0.0802994;0.0877762;0.0681686;0.100098;0.0777817
17;3;0.00652313;0.0115585;0.152512;0.0748062;0.0299072;0.0761795;0.0833511;0.0698471;0.0991058;0.0804901
17;4;0.0105286;0.00232697;0.116577;0.0717163;0.0383759;0.0779724;0.0838089;0.0696564;0.100403;0.0839233
17;5;0.00522614;-0.00232697;-0.0138474;0.0733185;0.0492096;0.0773621;0.0818253;0.0731277;0.100479;0.0828171
17;6;0.000495911;-0.0101852;0.0299072;0.0646973;0.0605011;0.0753403;0.0769043;0.0709534;0.0999451;0.0837708
17;7;-0.00087738;-0.0094986;0.0142288;0.0595856;0.0685501;0.0736237;0.076561;0.0751877;0.102386;0.0812531
17;8;-0.010376;-0.00236511;-0.0525665;0.0658035;0.0639725;0.0681305;0.0709534;0.0750732;0.102158;0.0796127
17;9;-0.0152969;0.00350952;-0.030632;0.0680161;0.066452;0.07164;0.0694656;0.0722122;0.103073;0.0800705
18;0;-0.00545502;0.0031662;0.0216675;0.0762558;0.0747299;0.0730515;0.0733948;0.072937;0.100784;0.0828171
18;1;-0.00217438;0.000343323;0.0139618;0.083046;0.07164;0.0699615;0.0770187;0.0747299;0.0976944;0.081749
18;2;0.00473022;0.00366211;0.0416565;0.0904465;0.0958252;0.071106;0.0768661;0.0782776;0.0940704;0.0858307
18;3;0.00160217;0.01091;0.0998306;0.087204;0.161209;0.0651932;0.0767136;0.0755692;0.0964355;0.0852203
18;4;0.00442505;0.00255585;0.117569;0.0806427;0.182266;0.0606537;0.0775528;0.0724792;0.0949097;0.0838852
18;5;0.00102997;-0.00728607;0.126228;0.0736237;0.127335;0.0645065;0.0766754;0.0737;0.0925064;0.0799561
18;6;-0.00133514;0.00484467;0.134621;0.0804901;0.0607681;0.0630569;0.0782013;0.0725174;0.0954437;0.0870132
18;7;-0.00431061;0.00553131;0.0148773;0.0782394;0.00274658;0.062027;0.0749969;0.0738144;0.09552;0.0855255
18;8;-0.0156021;-0.00270844;-0.00427246;0.0615311;-0.0151825;0.0654221;0.0695038;0.070343;0.0948715;0.0827789
18;9;-0.0142288;-0.00965118;0.0682449;0.0621033;-0.0301361;0.0671387;0.0651932;0.0718689;0.0973129;0.0866699
19;0;-0.00801086;-0.00152588;0.0927353;0.069046;0.00572205;0.0746918;0.0621414;0.0746536;0.098877;0.0856781
19;1;0.000267029;0.00228882;0.099411;0.0663757;0.0932312;0.0901413;0.0678253;0.0728989;0.0967407;0.087204
