DM: Ch1 (Dev1) [Volts],BB: Ch2 (Dev1) [Volts],ACC: Ch3 (Dev1) [Volts],ACC: Ch4 (Dev1) [g],ACC: Ch5 (Dev1) [g],ACC: Ch6 (Dev1) [g]
7.619397e-006,-2.094263e-006,3.821742e-005,2.305388e+000,1.943554e+000,1.537360e+000
1.619980e-005,-2.903734e-006,3.805553e-005,2.302636e+000,1.943877e+000,1.537684e+000
1.684737e-005,1.143624e-006,3.821742e-005,2.300855e+000,1.944201e+000,1.538332e+000
6.809926e-006,-3.134250e-007,3.837932e-005,2.298427e+000,1.942097e+000,1.537522e+000
-1.860748e-005,4.381511e-006,3.789363e-005,2.298427e+000,1.940963e+000,1.535579e+000
-2.573083e-005,1.004781e-005,3.886500e-005,2.296808e+000,1.941935e+000,1.535741e+000
-1.456013e-005,2.924462e-006,3.918879e-005,2.296484e+000,1.941449e+000,1.537846e+000
-1.067466e-005,2.276884e-006,3.870311e-005,2.297294e+000,1.941773e+000,1.539465e+000
7.457503e-006,-3.227523e-006,3.935069e-005,2.298589e+000,1.940640e+000,1.538655e+000
1.134297e-005,-1.608580e-006,3.951258e-005,2.302798e+000,1.938373e+000,1.538979e+000
6.162348e-006,-3.875100e-006,3.918879e-005,2.306522e+000,1.936268e+000,1.539465e+000
6.648031e-006,-1.747422e-005,3.918879e-005,2.309436e+000,1.935783e+000,1.539303e+000
8.105080e-006,-2.071211e-005,3.918879e-005,2.313483e+000,1.934811e+000,1.539141e+000
4.057722e-006,-1.067466e-005,3.951258e-005,2.316721e+000,1.934488e+000,1.542217e+000
-1.666475e-005,4.705299e-006,3.918879e-005,2.322225e+000,1.933840e+000,1.541246e+000
-2.573083e-005,9.076446e-006,3.870311e-005,2.327730e+000,1.932545e+000,1.539465e+000
-1.261739e-005,3.895827e-006,3.935069e-005,2.332911e+000,1.932383e+000,1.538817e+000
-5.170255e-006,-1.122897e-006,3.854121e-005,2.335177e+000,1.932707e+000,1.537360e+000
1.393328e-005,-8.570036e-006,3.805553e-005,2.336472e+000,1.931735e+000,1.537036e+000
7.943186e-006,-1.229360e-005,3.821742e-005,2.338739e+000,1.931735e+000,1.536713e+000
1.004781e-005,-6.789198e-006,3.870311e-005,2.339386e+000,1.931574e+000,1.533960e+000
1.879011e-005,-5.332149e-006,3.821742e-005,2.340358e+000,1.931412e+000,1.533637e+000
1.781874e-005,-1.284791e-006,3.805553e-005,2.341491e+000,1.932059e+000,1.534770e+000
1.053349e-005,-1.770474e-006,3.837932e-005,2.342300e+000,1.933192e+000,1.536065e+000
-1.974074e-005,4.543405e-006,3.870311e-005,2.343272e+000,1.936268e+000,1.535417e+000
-2.589273e-005,9.562129e-006,3.886500e-005,2.344243e+000,1.936592e+000,1.533151e+000
-1.536960e-005,5.838559e-006,3.870311e-005,2.342139e+000,1.934973e+000,1.534608e+000
-1.310308e-005,5.838559e-006,3.918879e-005,2.341491e+000,1.934002e+000,1.533798e+000
8.105080e-006,-1.284791e-006,3.967447e-005,2.337444e+000,1.933840e+000,1.532179e+000
1.458085e-005,3.341523e-007,3.967447e-005,2.333234e+000,1.934649e+000,1.530237e+000
1.020971e-005,-7.991079e-007,3.951258e-005,2.329025e+000,1.935945e+000,1.531046e+000
6.000454e-006,-1.245550e-005,3.886500e-005,2.329349e+000,1.938211e+000,1.532341e+000
4.381511e-006,-1.326497e-005,3.951258e-005,2.327568e+000,1.937726e+000,1.533475e+000
-9.610023e-007,-4.846466e-006,3.870311e-005,2.325787e+000,1.936754e+000,1.534608e+000
-2.216916e-005,1.166676e-005,3.854121e-005,2.323359e+000,1.938535e+000,1.535903e+000
-2.556894e-005,1.490464e-005,3.902689e-005,2.321902e+000,1.937726e+000,1.534446e+000
-1.051277e-005,6.324242e-006,3.935069e-005,2.320283e+000,1.936916e+000,1.531370e+000
-5.979726e-006,3.572039e-006,3.886500e-005,2.318016e+000,1.936592e+000,1.530722e+000
