Frame,Sub Frame,RF,BF,MG,LG,AT
52,1,-3.81E-05,-0.0292969,0.0670242,0.0803375,0.0621033
52,2,-0.000305176,-0.0481415,0.0803375,0.0883484,0.0642014
52,3,-0.000228882,-0.0828934,0.0559235,0.0977325,0.0653839
52,4,0,-0.0575638,0.0624084,0.0955963,0.0680923
53,0,0.00217438,-0.0204086,0.0415421,0.08564,0.0670242
53,1,0.00270844,-0.0271606,0.0501633,0.0748062,0.0691223
53,2,-0.00255585,-0.0506973,0.0494003,0.0761414,0.0613403
53,3,-0.0031662,-0.0653076,0.111847,0.0728226,0.0625992
53,4,0.00175476,-0.0296021,0.0743866,0.0806046,0.0638962
54,0,-0.000801086,-0.0718689,0.01091,0.159073,0.0648117
54,1,-0.00274658,-0.0472641,0.0222397,0.131454,0.0665283
54,2,-0.000419617,0.0198746,-0.00614166,0.0559998,0.0614929
54,3,-0.00762939,0.0554276,-0.0254822,-0.0351334,0.0601959
54,4,-0.0143433,0.0553894,0.0397491,-0.0641632,0.0689697
55,0,-0.0112534,0.0585556,0.00202179,-0.0106812,0.0663757
55,1,-0.00488281,0.0716782,0.00709534,0.0196457,0.062027
55,2,0.0025177,0.0718307,0.051651,0.0587082,0.0705719
55,3,0.013237,0.049057,0.0648499,0.0769806,0.0763702
55,4,0.0204468,0.030098,0.0897217,0.0918961,0.0760269
56,0,0.0213623,0.026207,0.0956345,0.0976181,0.0699997
56,1,0.0153732,0.0402069,0.107765,0.105515,0.0696182
56,2,0.0117111,0.0304031,0.111542,0.0978088,0.0673294
56,3,0.0056839,0.000343323,0.131264,0.100937,0.0681686
56,4,0.000724792,-0.0406647,0.155182,0.0567627,0.0686264
57,0,-0.000572205,-0.141106,0.1437,0.0236893,0.0675201
57,1,-0.000686646,-0.102043,0.114937,0.0256348,0.067482
57,2,-0.0103378,0.0381851,0.0148773,0.0177383,0.0615692
57,3,-0.0147247,0.0651932,-0.108833,0.0326538,0.0570297
57,4,-0.0146866,0.0854111,0.0806808,0.0608444,0.0614929
58,0,-0.010643,0.0545502,0.127182,0.0986099,0.0587845
58,1,-0.00663757,0.100403,0.0790405,0.115891,0.0617981
58,2,-0.0152206,0.244713,0.0534439,0.0982666,0.0666046
58,3,-0.0135422,0.192795,-0.161858,0.0579834,0.0666809
58,4,-0.00919342,0.0340271,-0.155067,0.044899,0.0688553
59,0,-0.00522614,-0.0509644,0.0100708,0.0292587,0.0696564
59,1,0.000267029,-0.0568771,0.0769424,0.0723648,0.0666046
59,2,0.0114059,-0.0555801,0.112572,0.117569,0.0675201
59,3,0.019455,-0.0664902,0.117226,0.108948,0.0686646
59,4,0.0243378,-0.130119,0.0352859,0.0883102,0.0663376
60,0,0.0161362,-0.15728,0.0696564,0.0671387,0.0606537
60,1,0.00976563,-0.141106,0.106049,0.0256729,0.0696564
60,2,0.00400543,-0.0793839,0.105133,0.00652313,0.0746155
60,3,-3.81E-05,-0.0819778,0.102425,0.0325394,0.0801468
60,4,-0.000572205,-0.0953293,0.0958252,0.0614548,0.0908279
61,0,-0.000572205,0.0302887,0.0919342,0.086441,0.0943375
61,1,-0.00591278,0.00640869,0.0926208,0.0904846,0.0849533
61,2,-0.0117874,-0.100021,0.0874329,0.0482941,0.0685501
61,3,-0.0154114,-0.0426483,0.0791931,0.00595093,0.0517654
61,4,-0.00957489,0.0299835,0.0690079,0.0160599,0.0156021
62,0,0.00167847,0.105095,0.0634766,0.0436401,0.0319672
62,1,-0.00179291,0.10128,0.0575638,0.0627136,0.0616837
62,2,0.00205994,0.0505829,0.0556183,0.0784302,0.0670624
62,3,0.00183105,0.0103378,0.0478363,0.10128,0.0701904
62,4,0.0043869,-0.0163269,0.0315094,0.0986099,0.065918
63,0,0.000228882,0.00892639,0.0115204,0.0738525,0.0658417
63,1,-0.000991821,0.0437546,0.019455,0.0835419,0.0658417
63,2,0.00247955,0.0793457,0.0465012,0.0846481,0.0753403
63,3,0.00686646,0.0899887,0.124245,0.0719833,0.0812531
63,4,0.00160217,0.0144196,0.219383,0.0909805,0.0715256
64,0,-0.00740051,0.0307083,0.0969696,0.114975,0.0628281
64,1,-0.0194168,-0.0146866,0.0305176,0.09552,0.0580978
64,2,-0.0146866,-0.0549316,-0.047493,0.0621414,0.0619125
64,3,-0.00331879,-0.045929,-0.133629,0.0553131,0.065918
64,4,0.00831604,-0.0296402,-0.0114441,0.0138474,0.0655365
65,0,0.0127029,-0.0212097,0.0462723,0.0210571,0.069046
65,1,0.0159073,-0.0174332,0.0493622,0.0940704,0.0660706
65,2,0.0262451,-0.00740051,0.00812531,0.18074,0.0614166
65,3,0.0248718,-0.0037384,-0.0261688,0.151405,0.0559616
65,4,0.0227737,0.0442886,-0.0608826,0.0110245,0.0540924
66,0,0.0131607,0.0389862,-0.000534058,-0.0753784,0.058403
66,1,-0.00152588,0.0148392,0.114479,-0.0770569,0.0617218
66,2,-0.0031662,0.00236511,0.0752258,0.0038147,0.0645447
66,3,0.00259399,-0.0150681,0.111275,0.0481796,0.0683975
66,4,0.00541687,-0.0266647,0.235405,0.0792313,0.0720978
67,0,0.00499725,-0.0205231,0.161514,0.0844193,0.0731659
67,1,-0.00209808,-0.011673,0.092392,0.0605774,0.0685501
67,2,-0.0213242,-0.00728607,0.107346,0.0598145,0.0708008
67,3,-0.0282669,-0.000724792,0.133934,0.0869751,0.0745392
67,4,-0.0308609,-0.00484467,0.119476,0.103836,0.0734329
68,0,-0.037384,-0.00087738,0.13401,0.12619,0.0695801
68,1,-0.0543594,0.00713348,0.120964,0.184555,0.0682449
