Frame;Sub Frame;LAX;LAY;LAZ;LHX;LHY;LHZ;LKX;LKY;LKZ;RAX;RAY;RAZ;RHX;RHY;RHZ;RKX;RKY;RKZ
72;0;5.52134;-9.36437;28.4922;-0.0699506;2.84371;-12.0911;4.75013;-1.87294;-21.1247;2.6942;-1.31803;5.14575;25.1984;3.62869;-18.2354;42.6148;-8.15961;-12.8639
73;0;5.94885;-9.38837;28.5515;-0.418141;2.89971;-11.9863;4.67002;-1.85913;-21.209;2.7963;-1.50042;5.8134;25.5063;3.70832;-18.3256;40.0223;-7.95438;-12.8161
74;0;6.38487;-9.40908;28.6026;-0.757821;2.96942;-11.8888;4.60128;-1.84671;-21.2833;2.80627;-1.67337;6.44503;25.7852;3.77137;-18.382;37.3855;-7.72435;-12.6799
75;0;6.82856;-9.42912;28.652;-1.08985;3.05187;-11.8019;4.54415;-1.83502;-21.3473;2.72729;-1.83938;7.04978;26.0399;3.81715;-18.405;34.7168;-7.47028;-12.4768
76;0;7.27914;-9.44854;28.6998;-1.41542;3.14589;-11.7263;4.49841;-1.82375;-21.4004;2.56916;-2.00489;7.65106;26.2757;3.84578;-18.3968;32.0292;-7.19528;-12.2327
77;0;7.73533;-9.47033;28.7534;-1.73566;3.25065;-11.6678;4.46421;-1.81305;-21.4414;2.34552;-2.17843;8.27964;26.4962;3.85596;-18.3576;29.335;-6.90138;-11.977
78;0;8.19552;-9.49524;28.8145;-2.05144;3.36382;-11.6239;4.44129;-1.80201;-21.4734;2.07475;-2.37156;8.97674;26.7069;3.84703;-18.2922;26.6493;-6.59217;-11.7427
79;0;8.65924;-9.52399;28.8851;-2.36365;3.48423;-11.5988;4.43007;-1.79095;-21.4927;1.77938;-2.59312;9.77304;26.9104;3.8191;-18.2001;23.9893;-6.27063;-11.5568
80;0;9.12517;-9.55648;28.9646;-2.6738;3.61019;-11.5901;4.43039;-1.77862;-21.5008;1.48461;-2.8515;10.6967;27.1092;3.7725;-18.0844;21.376;-5.94191;-11.4444
81;0;9.59178;-9.59284;29.0536;-2.98257;3.73854;-11.5972;4.44219;-1.76481;-21.4965;1.2153;-3.14908;11.7532;27.3048;3.71119;-17.9452;18.8343;-5.6117;-11.4209
82;0;10.0577;-9.63349;29.1528;-3.29097;3.8676;-11.6179;4.46533;-1.74974;-21.4816;0.993533;-3.48292;12.9285;27.4962;3.63884;-17.7823;16.393;-5.28609;-11.4922
83;0;10.5211;-9.67731;29.2595;-3.5998;3.99495;-11.6482;4.49991;-1.73298;-21.4566;0.836923;-3.84209;14.1803;27.6821;3.56186;-17.5954;14.085;-4.97408;-11.6507
84;0;10.9799;-9.72298;29.3704;-3.91004;4.11831;-11.6826;4.54508;-1.71494;-21.4214;0.754503;-4.20967;15.4466;27.8594;3.48764;-17.3827;11.9442;-4.68443;-11.881
85;0;11.4321;-9.77095;29.4867;-4.22261;4.23543;-11.7179;4.60082;-1.69651;-21.3787;0.747884;-4.56247;16.6471;28.0237;3.42405;-17.145;10.0052;-4.42592;-12.156
86;0;11.8752;-9.81996;29.6052;-4.53735;4.34373;-11.7489;4.66689;-1.67771;-21.3294;0.81085;-4.8755;17.6994;28.1714;3.37938;-16.8845;8.30043;-4.20732;-12.4446
87;0;12.3066;-9.87005;29.726;-4.85582;4.44157;-11.772;4.74222;-1.66075;-21.2747;0.931084;-5.12388;18.5254;28.2964;3.3605;-16.605;6.85635;-4.03383;-12.7145
88;0;12.7231;-9.92082;29.8482;-5.1778;4.5268;-11.7842;4.82642;-1.64635;-21.2176;1.09268;-5.28738;19.0646;28.3943;3.37397;-16.312;5.69243;-3.90914;-12.9328
89;0;13.122;-9.97299;29.9733;-5.50387;4.59778;-11.7841;4.91879;-1.6367;-21.1602;1.28003;-5.35509;19.2868;28.4608;3.42319;-16.0146;4.81907;-3.83231;-13.0762
