percent;lankleangx;lankleangx_sd;lankleangy;lankleangy_sd;lankleangz;lankleangz_sd;lhipangx;lhipangx_sd;lhipangy;lhipangy_sd;lhipangz;lhipangz_sd;lkneeangx;lkneeangx_sd;lkneeangy;lkneeangy_sd;lkneeangz;lkneeangz_sd
74;-6.6990216;3.906771437;9.60038273;4.777416988;-0.210311017;4.83847708;-3.733678624;3.364503219;1.926783859;4.661981002;36.14817497;5.156811903;3.272133221;5.40425909;-15.09205652;5.09360651;88.05725724;8.909274108
75;-6.45818653;3.941636025;9.477434239;4.766975577;0.294174265;4.712856602;-3.235461811;3.408350815;2.18221802;4.728812799;37.56245347;5.142592212;3.717696618;5.388393912;-15.20250077;5.000798043;86.21328899;8.782993729
76;-6.214423249;3.978831886;9.337481761;4.736338851;0.729990977;4.587809573;-2.707052631;3.450019467;2.384175055;4.801904034;38.82476398;5.119300711;4.144033631;5.372761642;-15.41502999;4.916850263;84.03392138;8.680683413
77;-5.986791269;4.021295102;9.188412889;4.683385651;1.093662428;4.474240867;-2.152763652;3.477882774;2.555847253;4.878410298;39.92901441;5.089722273;4.551557566;5.358706356;-15.72557323;4.860812623;81.5341677;8.600796637
78;-5.789926788;4.066809621;9.047994427;4.609579667;1.388408308;4.379691702;-1.578822222;3.480050752;2.716948675;4.951545266;40.87036433;5.057551148;4.941222144;5.340575385;-16.13333113;4.848523948;78.72961072;8.543043027
79;-5.630177733;4.109759481;8.940836886;4.523133407;1.624312992;4.304899387;-0.993005265;3.447239547;2.882429559;5.012412107;41.64455325;5.026710661;5.313015093;5.30672963;-16.6400678;4.8892345;75.63629614;8.504993739
80;-5.503398027;4.14497234;8.890035146;4.436526809;1.815640362;4.244578392;-0.404276719;3.375382263;3.062578988;5.051488079;42.24803237;5.001043987;5.664597702;5.2435064;-17.24622309;4.98321698;72.2620212;8.475812964
81;-5.39664565;4.170285166;8.908787804;4.36034404;1.977316402;4.190552667;0.177461351;3.267238661;3.264252027;5.059872973;42.67866462;4.984120136;5.990649892;5.140001587;-17.94589746;5.122772579;68.62301431;8.448577565
82;-5.294415575;4.185512846;8.997017354;4.29764507;2.121603774;4.135206433;0.741283614;3.132422777;3.492378618;5.030925305;42.9362109;4.978824969;6.28349787;4.991305512;-18.72082717;5.296738755;64.7394356;8.415748588
83;-5.184653687;4.190178575;9.144511047;4.242239924;2.257013457;4.074930797;1.274881688;2.985565564;3.750395134;4.962969096;43.02215726;4.986949557;6.534624632;4.799645544;-19.53697102;5.493954372;60.63428211;8.36828219
84;-5.06057465;4.1836537;9.339174693;4.184931859;2.388928577;4.012671616;1.764462342;2.842987819;4.03823595;4.862542587;42.93952499;5.008532558;6.735233083;4.575215224;-20.34909797;5.703332907;56.33629322;8.304262302
85;-4.916990854;4.166574303;9.574007998;4.120488951;2.521089214;3.958850614;2.195741739;2.718742048;4.346945343;4.748411246;42.69340338;5.041135993;6.873281493;4.337542317;-21.10925322;5.913167711;51.87952886;8.222590508
86;-4.745047868;4.141136053;9.848290555;4.048870302;2.655798849;3.929970376;2.55642951;2.621239246;4.651140124;4.653668536;42.29265022;5.079557425;6.928496689;4.11461825;-21.76936725;6.112843734;47.30753946;8.122506446
87;-4.529822129;4.110067853;10.16367565;3.973234351;2.79257926;3.94540881;2.839680424;2.552144402;4.90382592;4.619436885;41.7514752;5.116547036;6.87115467;3.935091828;-22.2782004;6.295739617;42.67529637;8.001625219
88;-4.25198758;4.073393439;10.51963952;3.898349583;2.926943445;4.022921323;3.046999004;2.508067804;5.039396974;4.676525218;41.09031773;5.144698171;6.669301612;3.813268042;-22.57925824;6.459712229;38.04956777;7.85713772
89;-3.892707219;4.026752112;10.91033537;3.82917402;3.050544214;4.172349954;3.188606907;2.483564949;4.987919671;4.827024869;40.33477858;5.15850847;6.303765537;3.738445069;-22.61747382;6.603584602;33.5072248;7.687822601
90;-3.440254435;3.963539976;11.32339685;3.771219452;3.153422945;4.391433593;3.280656709;2.473532663;4.698298698;5.044345136;39.51425723;5.155835048;5.783467191;3.680776176;-22.35675142;6.723503154;29.13232854;7.494905131
91;-2.895796072;3.880713236;11.74095077;3.732067981;3.228300169;4.668669486;3.340740039;2.474429801;4.16146682;5.290256816;38.65981443;5.138172256;5.150627412;3.608932741;-21.80284924;6.813213649;25.01291743;7.281304708
92;-2.277660191;3.786364127;12.14225898;3.721006516;3.274069425;4.991449601;3.383971636;2.484279526;3.423000815;5.531007551;37.80196067;5.109371948;4.471275632;3.505556399;-21.0185558;6.868120015;21.23789787;7.050582562
93;-1.62186521;3.702815809;12.50735784;3.743573284;3.296460423;5.351334853;3.421033809;2.501720567;2.578012439;5.74244195;36.96835395;5.073925918;3.81593132;3.373204913;-20.1197589;6.889879735;17.89347241;6.806628111
94;-0.977317708;3.657987609;12.81947252;3.792703607;3.303930832;5.741381764;3.457957637;2.525249317;1.749545253;5.908441518;36.18163892;5.035918189;3.24140005;3.230426101;-19.25011586;6.888865779;15.05770919;6.553468924
95;-0.393958736;3.665815368;13.06606785;3.844719908;3.301319928;6.150113765;3.496902644;2.553496639;1.05859064;6.019491858;35.45749644;4.999007063;2.782428568;3.101483121;-18.54400287;6.880760802;12.79345504;6.294430894
96;0.088960026;3.715030308;13.23911885;3.868851223;3.281902988;6.556266568;3.538081921;2.58599855;0.596791174;6.072667674;34.80383573;4.967010307;2.453441955;3.005644703;-18.09367402;6.877942725;11.14183289;6.031367247
97;0.44347454;3.781784334;13.33549792;3.846644491;3.220624391;6.925959968;3.582943102;2.623280282;0.409778845;6.070274776;34.22118235;4.943142696;2.255148315;2.951739304;-17.9310708;6.883431842;10.11919427;5.765688888
98;0.63778077;3.850656287;13.35617927;3.78648055;3.073469526;7.21022963;3.637000745;2.665764422;0.493689483;6.016032758;33.7048643;4.928608111;2.1811581;2.938401278;-18.02539288;6.892402691;9.718197124;5.501704067
99;0.615718318;3.916429128;13.30070427;3.71977932;2.789425925;7.342436926;3.710015982;2.712319085;0.803541263;5.912326364;33.2476964;4.92148098;2.222743293;2.957072215;-18.29172323;6.895766897;9.91163138;5.249898906
100;0.291743237;3.965251921;13.15443046;3.680687746;2.339103767;7.24213478;3.813262602;2.759628052;1.268540826;5.761739967;32.84262487;4.917537065;2.371688325;2.995839843;-18.6059389;6.880441645;10.65759817;5.026818761
